id,group,expected_tool,predicted_tool,error_type,query,expected,prediction,schema_errors
fresh20260626_028,alarm_calendar,ACTION_INSERT_EVENT,ACTION_INSERT_EVENT,argument_mismatch,"Ghi vào lịch: workshop AI, cả ngày 12 tháng 9","{""arguments"": {""DESCRIPTION"": ""workshop AI"", ""EXTRA_EVENT_ALL_DAY"": true, ""EXTRA_EVENT_BEGIN_TIME"": ""2026-09-12"", ""TITLE"": ""workshop AI""}, ""requires_confirmation"": true, ""tool"": ""ACTION_INSERT_EVENT""}","{""arguments"": {""DESCRIPTION"": ""workshop AI"", ""EXTRA_EVENT_BEGIN_TIME"": ""12 September"", ""TITLE"": ""workshop AI""}, ""requires_confirmation"": true, ""tool"": ""ACTION_INSERT_EVENT""}",
fresh20260626_030,files_settings,ACTION_OPEN_DOCUMENT,ACTION_GET_CONTENT,wrong_tool,Chọn nhiều tài liệu Word để xem,"{""arguments"": {""allow_multiple"": true, ""mime_types"": [""application/vnd.openxmlformats-officedocument.wordprocessingml.document""]}, ""requires_confirmation"": false, ""tool"": ""ACTION_OPEN_DOCUMENT""}","{""arguments"": {""allow_multiple"": true, ""mime_type"": ""application/vnd.openxmlformats-officedocument.wordprocessingml.document""}, ""requires_confirmation"": false, ""tool"": ""ACTION_GET_CONTENT""}",
fresh20260626_031,files_settings,ACTION_OPEN_DOCUMENT,,null_instead_of_tool,Tôi muốn mở ảnh định dạng webp,"{""arguments"": {""mime_types"": [""image/webp""]}, ""requires_confirmation"": false, ""tool"": ""ACTION_OPEN_DOCUMENT""}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}",
fresh20260626_032,files_settings,ACTION_OPEN_DOCUMENT,ACTION_OPEN_DOCUMENT,argument_mismatch,Mở tài liệu zip từ bộ nhớ lâu dài,"{""arguments"": {""mime_types"": [""application/zip""]}, ""requires_confirmation"": false, ""tool"": ""ACTION_OPEN_DOCUMENT""}","{""arguments"": {""allow_multiple"": false, ""mime_types"": [""application/zip""]}, ""requires_confirmation"": false, ""tool"": ""ACTION_OPEN_DOCUMENT""}",
fresh20260626_037,alarm_calendar,ACTION_SET_ALARM,ACTION_SET_ALARM,argument_mismatch,Cài chuông 4 giờ 50 sáng nhắc ra sân bay,"{""arguments"": {""EXTRA_HOUR"": 4, ""EXTRA_MESSAGE"": ""ra sân bay"", ""EXTRA_MINUTES"": 50}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_ALARM""}","{""arguments"": {""EXTRA_HOUR"": 4, ""EXTRA_MESSAGE"": ""sân bay"", ""EXTRA_MINUTES"": 50}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_ALARM""}",
fresh20260626_038,alarm_calendar,ACTION_SET_ALARM,,null_instead_of_tool,Đặt báo thức lúc 13:05 cho ca học chiều,"{""arguments"": {""EXTRA_HOUR"": 13, ""EXTRA_MESSAGE"": ""ca học chiều"", ""EXTRA_MINUTES"": 5}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_ALARM""}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""rejected"", ""tool"": null}",
fresh20260626_039,alarm_calendar,ACTION_SET_ALARM,ACTION_SET_ALARM,argument_mismatch,Alarm 21h10 mỗi thứ Ba và thứ Sáu,"{""arguments"": {""EXTRA_DAYS"": [""Tuesday"", ""Friday""], ""EXTRA_HOUR"": 21, ""EXTRA_MINUTES"": 10}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_ALARM""}","{""arguments"": {""EXTRA_DAYS"": [""Wednesday"", ""Saturday""], ""EXTRA_HOUR"": 21, ""EXTRA_MINUTES"": 10}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_ALARM""}",
fresh20260626_040,alarm_calendar,ACTION_SET_ALARM,ACTION_SET_ALARM,argument_mismatch,Báo tôi lúc 0 giờ 15 để kiểm tra server,"{""arguments"": {""EXTRA_HOUR"": 0, ""EXTRA_MESSAGE"": ""kiểm tra server"", ""EXTRA_MINUTES"": 15}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_ALARM""}","{""arguments"": {""EXTRA_HOUR"": 0, ""EXTRA_MINUTES"": 15}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_ALARM""}",
fresh20260626_041,alarm_calendar,ACTION_SET_TIMER,ACTION_SET_TIMER,argument_mismatch,Hẹn bộ đếm 7 phút cho trà,"{""arguments"": {""EXTRA_MESSAGE"": ""trà"", ""duration"": ""7 minutes""}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_TIMER""}","{""arguments"": {""duration"": ""7 minutes""}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_TIMER""}",
fresh20260626_043,alarm_calendar,ACTION_SET_TIMER,ACTION_SET_TIMER,argument_mismatch,Timer 3 giờ 20 phút cho máy giặt,"{""arguments"": {""EXTRA_MESSAGE"": ""máy giặt"", ""duration"": ""3 hours 20 minutes""}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_TIMER""}","{""arguments"": {""duration"": ""3 hours 20 minutes""}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_TIMER""}",
fresh20260626_044,alarm_calendar,ACTION_SET_TIMER,ACTION_SET_TIMER,argument_mismatch,Đặt đồng hồ bấm ngược nửa tiếng,"{""arguments"": {""duration"": ""30 minutes""}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_TIMER""}","{""arguments"": {""EXTRA_MESSAGE"": ""đồng hồ bấm ngược"", ""duration"": ""30 minutes""}, ""requires_confirmation"": false, ""tool"": ""ACTION_SET_TIMER""}",
fresh20260626_049,camera_media,ACTION_VIDEO_CAPTURE,INTENTION_ACTION_VIDEO_CAMERA,wrong_tool,Quay ngay clip hiện trường và lưu kết quả,"{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_VIDEO_CAPTURE""}","{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""INTENTION_ACTION_VIDEO_CAMERA""}",unknown tool: INTENTION_ACTION_VIDEO_CAMERA
fresh20260626_056,contacts,ACTION_VIEW_CONTACT,,null_instead_of_tool,Cho tôi xem liên hệ contacts://club/leader,"{""arguments"": {""contact_uri"": ""contacts://club/leader""}, ""requires_confirmation"": false, ""tool"": ""ACTION_VIEW_CONTACT""}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
fresh20260626_057,camera_media,INTENT_ACTION_STILL_IMAGE_CAMERA,ACTION_IMAGE_CAPTURE,wrong_tool,"Mở camera chụp ảnh, tôi tự bấm sau","{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""INTENT_ACTION_STILL_IMAGE_CAMERA""}","{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_IMAGE_CAPTURE""}",
fresh20260626_061,camera_media,INTENT_ACTION_VIDEO_CAMERA,ACTION_VIDEO_CAPTURE,wrong_tool,Chuẩn bị giao diện video trong camera,"{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""INTENT_ACTION_VIDEO_CAMERA""}","{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_VIDEO_CAPTURE""}",
fresh20260626_066,message_call,dial,ACTION_CALL,wrong_tool,Gọi tổng đài 1900 9095,"{""arguments"": {""phone_number"": ""19009095""}, ""requires_confirmation"": true, ""tool"": ""dial""}","{""arguments"": {""phone_number"": ""19009095""}, ""requires_confirmation"": false, ""tool"": ""ACTION_CALL""}",unknown tool: ACTION_CALL
fresh20260626_069,contacts,get_contact_info,ACTION_GET_CONTENT,wrong_tool,Lấy email của cô Mai Phương,"{""arguments"": {""key"": ""email"", ""name"": ""Mai Phương""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info""}","{""arguments"": {""mime_type"": ""text/email""}, ""requires_confirmation"": false, ""tool"": ""ACTION_GET_CONTENT""}",
fresh20260626_070,contacts,get_contact_info,get_contact_info,argument_mismatch,Số điện thoại bạn Quốc Huy là gì,"{""arguments"": {""key"": ""phone"", ""name"": ""Quốc Huy""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info""}","{""arguments"": {""key"": ""phone"", ""name"": ""Quan Quốc Huy""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info""}",
fresh20260626_072,contacts,get_contact_info,get_contact_info_from_uri,wrong_tool,Cho tôi URI liên hệ của Trần Khánh Vy,"{""arguments"": {""key"": ""uri"", ""name"": ""Trần Khánh Vy""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info""}","{""arguments"": {""contact_uri"": ""trần khánh vy""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info_from_uri""}",missing required argument: key
fresh20260626_073,contacts,get_contact_info_from_uri,get_contact_info,wrong_tool,Từ contacts://supplier/77 lấy email,"{""arguments"": {""contact_uri"": ""contacts://supplier/77"", ""key"": ""email""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info_from_uri""}","{""arguments"": {""key"": ""email"", ""name"": ""supplier""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info""}",
fresh20260626_074,contacts,get_contact_info_from_uri,get_contact_info_from_uri,schema_invalid,Tra phone từ content://contacts/people/909,"{""arguments"": {""contact_uri"": ""content://contacts/people/909"", ""key"": ""phone""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info_from_uri""}","{""arguments"": {""contact_uri"": ""content://contacts/people/909""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info_from_uri""}",missing required argument: key
fresh20260626_076,contacts,get_contact_info_from_uri,get_contact_info,wrong_tool,content://com.android.contacts/contacts/18 có email nào,"{""arguments"": {""contact_uri"": ""content://com.android.contacts/contacts/18"", ""key"": ""email""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info_from_uri""}","{""arguments"": {""key"": ""email"", ""name"": ""18""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info""}",
fresh20260626_077,files_settings,open_settings,open_settings,argument_mismatch,Mở phần cài đặt bàn phím,"{""arguments"": {""setting_type"": ""input_method""}, ""requires_confirmation"": false, ""tool"": ""open_settings""}","{""arguments"": {""setting_type"": ""display""}, ""requires_confirmation"": false, ""tool"": ""open_settings""}",
fresh20260626_083,map_web,search_location,,null_instead_of_tool,Định vị quán bún cá Hạnh Nhiên gần đây,"{""arguments"": {""query"": ""quán bún cá Hạnh Nhiên gần đây""}, ""requires_confirmation"": false, ""tool"": ""search_location""}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
fresh20260626_090,message_call,send_message,send_message,argument_mismatch,Soạn SMS tới +84 934 555 121 nội dung Đơn hàng đã giao,"{""arguments"": {""body"": ""Đơn hàng đã giao"", ""phone_number"": ""+84934555121""}, ""requires_confirmation"": true, ""tool"": ""send_message""}","{""arguments"": {""body"": ""Đơn hàng đã giao"", ""phone_number"": ""+84934555121"", ""subject"": """"}, ""requires_confirmation"": true, ""tool"": ""send_message""}",
fresh20260626_095,map_web,web_search,,null_instead_of_tool,Tra cứu bài hướng dẫn nộp thuế cá nhân online,"{""arguments"": {""query"": ""hướng dẫn nộp thuế cá nhân online""}, ""requires_confirmation"": false, ""tool"": ""web_search""}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
fresh20260626_098,negative_clarification,,send_message,unsafe_or_unwanted_tool_for_null_request,Nhắn cho người đó là tôi tới rồi,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {""body"": ""tôi tới rồi"", ""phone_number"": ""1234567890"", ""subject"": """"}, ""requires_confirmation"": true, ""tool"": ""send_message""}",
fresh20260626_099,negative_clarification,,send_email,unsafe_or_unwanted_tool_for_null_request,Gửi email báo cáo đi,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {""body"": ""xem attachment"", ""subject"": ""báo cáo"", ""to"": [""nhantien@example.com"", ""nguoitran@example.com""]}, ""requires_confirmation"": true, ""tool"": ""send_email""}",
fresh20260626_100,negative_clarification,,clarification,unsafe_or_unwanted_tool_for_null_request,Mai nhớ đánh thức tôi nhưng tôi chưa nói mấy giờ,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": ""clarification""}",unknown tool: clarification
fresh20260626_101,negative_clarification,,ACTION_INSERT_EVENT,unsafe_or_unwanted_tool_for_null_request,Tạo sự kiện họp,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {""DESCRIPTION"": ""họp"", ""TITLE"": ""họp""}, ""requires_confirmation"": true, ""tool"": ""ACTION_INSERT_EVENT""}",
fresh20260626_102,negative_clarification,,ACTION_OPEN_DOCUMENT,unsafe_or_unwanted_tool_for_null_request,Mở tài liệu,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""tool"": ""ACTION_OPEN_DOCUMENT""}",missing required argument: mime_types
fresh20260626_104,negative_clarification,,search_location,unsafe_or_unwanted_tool_for_null_request,Đi tới đâu đó nhưng tôi chưa nói địa điểm,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {""query"": ""địa điểm""}, ""requires_confirmation"": false, ""tool"": ""search_location""}",
fresh20260626_105,negative_clarification,,get_contact_info,unsafe_or_unwanted_tool_for_null_request,Tra số trong danh bạ,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {""key"": ""phone"", ""name"": ""danhbạ""}, ""requires_confirmation"": false, ""tool"": ""get_contact_info""}",
fresh20260626_106,negative_clarification,,ACTION_EDIT_CONTACT,unsafe_or_unwanted_tool_for_null_request,Sửa liên hệ của mẹ,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {""contact_uri"": ""name=mẹ""}, ""requires_confirmation"": true, ""tool"": ""ACTION_EDIT_CONTACT""}",
fresh20260626_107,negative_clarification,,ACTION_VIEW_CONTACT,unsafe_or_unwanted_tool_for_null_request,Xem liên hệ,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {""contact_uri"": ""tong-hop-lien-he""}, ""requires_confirmation"": false, ""tool"": ""ACTION_VIEW_CONTACT""}",
fresh20260626_108,negative_clarification,,,null_status_mismatch,Tạo file mới,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}",
fresh20260626_112,negative_clarification,,audio_player,unsafe_or_unwanted_tool_for_null_request,Bật playlist nhạc acoustic trong máy,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {""album"": ""playlist acoustic""}, ""requires_confirmation"": false, ""tool"": ""audio_player""}",unknown tool: audio_player
fresh20260626_114,negative_clarification,,,null_status_mismatch,Cài app ngân hàng mới,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
fresh20260626_115,negative_clarification,,send_message,unsafe_or_unwanted_tool_for_null_request,Đọc mã OTP trong SMS,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {""body"": ""Đọc mã đã gửi"", ""phone_number"": ""+84912345678"", ""subject"": """"}, ""requires_confirmation"": true, ""tool"": ""send_message""}",
fresh20260626_116,negative_clarification,,ACTION_VIEW_CONTACT,unsafe_or_unwanted_tool_for_null_request,Chuyển tiền cho Nam 200 nghìn,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {""contact_uri"": ""content://telephony号码簿/telephony号码簿""}, ""requires_confirmation"": false, ""tool"": ""ACTION_VIEW_CONTACT""}",
fresh20260626_117,negative_clarification,,,null_status_mismatch,Viết status mới lên mạng xã hội giúp tôi,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
fresh20260626_118,negative_clarification,,,null_status_mismatch,Bật đèn pin,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
fresh20260626_121,negative_clarification,,,null_status_mismatch,Kết nối với tai nghe Bluetooth của tôi,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
fresh20260626_122,negative_clarification,,,null_status_mismatch,Mở khóa điện thoại,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
fresh20260626_126,negative_clarification,,,null_status_mismatch,Tóm tắt email mới nhất,"{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""unsupported"", ""tool"": null}","{""arguments"": {}, ""requires_confirmation"": false, ""status"": ""clarification"", ""tool"": null}",
